东奥初级会计2019 轻松过关1 2019年应试指导及全真模拟测试初级会计实务 东奥会计初级职称教材2019,刘忠,考试,出版时间:2018年12月 ,北京科学技术出版社,43.90                ,http://img3m9.ddimg.cn/49/32/25537099-1_w_9.jpg,http://product.dangdang.com/25537099.html
教师资格证考试中公2019国家教师资格考试专用教材套装综合素质中学+综合素质历年真题及标准预测试卷中学+教育知识与能力中学+教育知识与能力历年真题及标准预测试卷中学（共4册）,中公教育教师资格考试研究院,考试,出版时间:2018年11月 ,世界图书出版公司,101.80                ,http://img3m6.ddimg.cn/88/14/25809586-1_w_2.jpg,http://product.dangdang.com/25809586.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试经济法基础 全套,财政部会计资格评价中心,考试,出版时间:2018年12月 ,经济科学出版社,40.00                ,http://img3m6.ddimg.cn/49/26/25546306-1_w_4.jpg,http://product.dangdang.com/25546306.html
教师资格证考试中公2019国家教师资格考试专用教材套装教育教学知识与能力小学+教育教学知识与能力历年真题及标准预测试卷小学+综合素质小学+综合素质历年真题及标准预测试卷小学（共4册）,中公教育教师资格考试研究院,考试,出版时间:2018年11月 ,世界图书出版公司,101.80                ,http://img3m4.ddimg.cn/86/12/25809584-1_w_3.jpg,http://product.dangdang.com/25809584.html
东奥初级会计职称2019教材辅导书应试指导及全真模拟测试19年初级会计实务+初级经济法基础 轻松过关1【4本组合】,未爬取到此字段,考试,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m8.ddimg.cn/75/21/410265678-1_w_2.jpg,http://product.dangdang.com/410265678.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试初级会计实务 全套,财政部会计资格评价中心,考试,出版时间:2018年12月 ,经济科学出版社,35.00                ,http://img3m7.ddimg.cn/50/27/25546307-1_w_3.jpg,http://product.dangdang.com/25546307.html
东奥初级会计2019 轻松过关1 2019年应试指导及全真模拟测试初级经济法 东奥会计初级职称教材2019,未爬取到此字段,考试,出版时间:2018年12月 ,北京科学技术出版社,55.00                ,http://img3m0.ddimg.cn/50/33/25537100-1_w_8.jpg,http://product.dangdang.com/25537100.html
考研英语 2019恋练有词 考研英语词汇识记与应用大全 恋恋有词 2019 朱伟考研英语词汇单词书练练有词2019 恋恋有辞2018,朱伟,考试,出版时间:2018年01月 ,群言出版社,46.00                ,http://img3m6.ddimg.cn/30/30/25208796-1_w_3.jpg,http://product.dangdang.com/25208796.html
未来教育2019年3月全国计算机等级考试二级MS Office上机考试题库+模拟考场计算机2级高级应用真考题库（套装共2册）,未来教育教学与研究中心,考试,出版时间:2018年09月 ,电子科技大学出版社,67.60                ,http://img3m3.ddimg.cn/43/5/25344043-1_w_2.jpg,http://product.dangdang.com/25344043.html
初级会计职称考试教材2019教材+试卷2019年新版初级会计专业技术资格考试：初级会计实务+经济法基础（全套4本 ）,全国会计专业技术资格考试研究组,考试,出版时间:2018年06月 ,西南财经大学出版社,78.20                ,http://img3m8.ddimg.cn/91/22/25290928-1_w_10.jpg,http://product.dangdang.com/25290928.html
二级建造师 2019教材 2019版二级建造师 建设工程施工管理,未爬取到此字段,考试,未爬取到此字段,未爬取到此字段,57.20                ,http://img3m5.ddimg.cn/93/34/26264595-1_w_2.jpg,http://product.dangdang.com/26264595.html
二级建造师 2019教材 2019版二级建造师 建设工程法规及相关知识,未爬取到此字段,考试,未爬取到此字段,未爬取到此字段,63.60                ,http://img3m6.ddimg.cn/94/35/26264596-1_w_2.jpg,http://product.dangdang.com/26264596.html
未来教育2019年3月全国计算机等级考试二级MS Office上机考试题库2级高级应用真考题库,未来教育教学与研究中心,考试,出版时间:2018年09月 ,电子科技大学出版社,42.50                ,http://img3m0.ddimg.cn/33/2/25477980-1_w_2.jpg,http://product.dangdang.com/25477980.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试初级会计实务+经济法基础 全套,未爬取到此字段,考试,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m7.ddimg.cn/74/20/410265677-1_w_2.jpg,http://product.dangdang.com/410265677.html
2019年初级会计职称考试新2019教材 2019年初级会计职称考试新教材书 初级会计教材+库课考前密押与真题试卷 初级会计实务+经济法基础 全4本 初级会计实务2019,财政部会计资格评价中心,考试,出版时间:2018年11月 ,经济科学出版社,88.00                ,http://img3m7.ddimg.cn/40/34/1197077647-1_w_18.jpg,http://product.dangdang.com/1197077647.html
二级建造师 2019教材 2019版二级建造师 市政公用工程管理与实务,未爬取到此字段,考试,未爬取到此字段,未爬取到此字段,64.50                ,http://img3m4.ddimg.cn/92/33/26264594-1_w_2.jpg,http://product.dangdang.com/26264594.html
二级建造师 2019教材 2019版二级建造师考试用书 建筑工程管理与实务,中国建筑工业出版社,考试,出版时间:2019年01月 ,中国建筑工业出版社,63.60                ,http://img3m9.ddimg.cn/87/28/26264589-1_w_2.jpg,http://product.dangdang.com/26264589.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试初级会计实务+经济法基础+东奥初级会计2019初级会计 轻松过关1套装(6本组合),未爬取到此字段,考试,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m7.ddimg.cn/94/3/410265697-1_w_4.jpg,http://product.dangdang.com/410265697.html
贺银成2019年国家临床执业医师考试用书全套可搭历年真题全真试卷实践技能张博士医考红宝书 2019贺银成临床执业医师辅导讲义上下册,贺银成,考试,出版时间:2018年11月 ,西安交通大学出版社,218.90                ,http://img3m6.ddimg.cn/64/26/25578496-1_w_5.jpg,http://product.dangdang.com/25578496.html
一级注册消防工程师2019教材+真题押题试卷消防安全技术综合能力+案例分析+技术实务二级适用（套装共12册）,未来教育教研组,考试,出版时间:2018年03月 ,北京希望电子出版社,127.70                ,http://img3m5.ddimg.cn/58/2/26184865-1_w_4.jpg,http://product.dangdang.com/26184865.html
